datetime,src,dst,channel,rssi,pdr
2018-01-11 14:03:29.950,00-17-0d-00-00-38-03-87,,19,-93,93.27
2018-01-11 14:03:29.950,00-17-0d-00-00-38-03-87,,20,-93,94.64
2018-01-11 14:03:29.950,00-17-0d-00-00-38-03-87,,21,-93,90.6
2018-01-11 14:03:29.950,00-17-0d-00-00-38-03-87,,22,-93,82.57
2018-01-11 14:03:29.950,00-17-0d-00-00-38-03-87,,23,-84,75.7
2018-01-11 14:03:29.950,00-17-0d-00-00-38-03-87,,24,-91,80.16
2018-01-11 14:03:29.950,00-17-0d-00-00-38-03-87,,25,-93,87.04
2018-01-11 14:03:29.426,00-17-0d-00-00-38-06-f0,,11,-93,80.58
2018-01-11 14:03:29.426,00-17-0d-00-00-38-06-f0,,12,-93,84.62
2018-01-11 14:03:29.426,00-17-0d-00-00-38-06-f0,,13,-90,75.44
2018-01-11 14:03:29.426,00-17-0d-00-00-38-06-f0,,14,-92,77.88
2018-01-11 14:03:29.426,00-17-0d-00-00-38-06-f0,,15,-93,59.13
2018-01-11 14:03:29.426,00-17-0d-00-00-38-06-f0,,16,-93,65.09
2018-01-11 14:03:29.426,00-17-0d-00-00-38-06-f0,,17,-86,83.2
2018-01-11 14:03:29.426,00-17-0d-00-00-38-06-f0,,18,-92,90.91
2018-01-11 14:03:29.426,00-17-0d-00-00-38-06-f0,,19,-92,86.44
2018-01-11 14:03:29.426,00-17-0d-00-00-38-06-f0,,20,-93,97.09
2018-01-11 14:03:29.426,00-17-0d-00-00-38-06-f0,,21,-93,93.4
2018-01-11 14:03:29.426,00-17-0d-00-00-38-06-f0,,22,-88,90.63
2018-01-11 14:03:29.426,00-17-0d-00-00-38-06-f0,,23,-78,78.0
2018-01-11 14:03:29.426,00-17-0d-00-00-38-06-f0,,24,-93,89.42
2018-01-11 14:03:29.426,00-17-0d-00-00-38-06-f0,,25,-93,97.22
2018-01-11 14:03:51.460,00-17-0d-00-00-38-03-d9,,11,-93,68.0
2018-01-11 14:03:51.460,00-17-0d-00-00-38-03-d9,,12,-93,62.73
2018-01-11 14:03:51.460,00-17-0d-00-00-38-03-d9,,13,-92,79.09
2018-01-11 14:03:51.460,00-17-0d-00-00-38-03-d9,,14,-93,77.24
2018-01-11 14:03:51.460,00-17-0d-00-00-38-03-d9,,15,-93,65.08
2018-01-11 14:03:51.460,00-17-0d-00-00-38-03-d9,,16,-92,90.2
2018-01-11 14:03:51.460,00-17-0d-00-00-38-03-d9,,17,-91,79.46
2018-01-11 14:03:51.460,00-17-0d-00-00-38-03-d9,,18,-93,69.92
2018-01-11 14:03:51.460,00-17-0d-00-00-38-03-d9,,19,-93,83.49
2018-01-11 14:03:51.460,00-17-0d-00-00-38-03-d9,,20,-93,95.56
2018-01-11 14:03:51.460,00-17-0d-00-00-38-03-d9,,21,-93,88.29
2018-01-11 14:03:51.460,00-17-0d-00-00-38-03-d9,,22,-93,82.76
2018-01-11 14:03:51.460,00-17-0d-00-00-38-03-d9,,23,-84,71.93
2018-01-11 14:03:51.460,00-17-0d-00-00-38-03-d9,,24,-93,54.31
2018-01-11 14:03:51.460,00-17-0d-00-00-38-03-d9,,25,-93,93.64
2018-01-11 14:08:34.897,00-17-0d-00-00-38-05-da,,11,-90,60.36
2018-01-11 14:08:34.897,00-17-0d-00-00-38-05-da,,12,-90,88.03
2018-01-11 14:08:34.897,00-17-0d-00-00-38-05-da,,13,-88,78.69
2018-01-11 14:08:34.897,00-17-0d-00-00-38-05-da,,14,-89,80.8
2018-01-11 14:08:34.897,00-17-0d-00-00-38-05-da,,15,-84,63.16
2018-01-11 14:08:34.897,00-17-0d-00-00-38-05-da,,16,-88,69.53
2018-01-11 14:08:34.897,00-17-0d-00-00-38-05-da,,17,-86,73.64
2018-01-11 14:08:34.897,00-17-0d-00-00-38-05-da,,18,-77,67.2
2018-01-11 14:08:34.897,00-17-0d-00-00-38-05-da,,19,-80,76.64
2018-01-11 14:08:34.897,00-17-0d-00-00-38-05-da,,20,-92,88.46
2018-01-11 14:08:34.897,00-17-0d-00-00-38-05-da,,21,-84,86.07
2018-01-11 14:08:34.897,00-17-0d-00-00-38-05-da,,22,-85,75.65
2018-01-11 14:08:34.897,00-17-0d-00-00-38-05-da,,23,-86,81.13
2018-01-11 14:08:34.897,00-17-0d-00-00-38-05-da,,24,-88,78.63
2018-01-11 14:08:34.897,00-17-0d-00-00-38-05-da,,25,-83,81.58
2018-01-11 14:08:37.108,00-17-0d-00-00-38-06-c9,,11,-92,24.0
2018-01-11 14:08:37.108,00-17-0d-00-00-38-06-c9,,12,-93,71.54
2018-01-11 14:08:37.108,00-17-0d-00-00-38-06-c9,,13,-91,40.13
2018-01-11 14:08:37.108,00-17-0d-00-00-38-06-c9,,14,-93,51.82
2018-01-11 14:08:37.108,00-17-0d-00-00-38-06-c9,,15,-90,56.63
2018-01-11 14:08:37.108,00-17-0d-00-00-38-06-c9,,16,-91,49.33
2018-01-11 14:08:37.108,00-17-0d-00-00-38-06-c9,,17,-90,62.8
2018-01-11 14:08:37.108,00-17-0d-00-00-38-06-c9,,18,-89,60.13
2018-01-11 14:08:37.108,00-17-0d-00-00-38-06-c9,,19,-88,57.82
2018-01-11 14:08:37.108,00-17-0d-00-00-38-06-c9,,20,-93,68.0
2018-01-11 14:08:37.108,00-17-0d-00-00-38-06-c9,,21,-88,74.68
2018-01-11 14:08:37.108,00-17-0d-00-00-38-06-c9,,22,-88,69.06
2018-01-11 14:08:37.108,00-17-0d-00-00-38-06-c9,,23,-93,74.32
2018-01-11 14:08:37.108,00-17-0d-00-00-38-06-c9,,24,-90,71.92
2018-01-11 14:08:37.108,00-17-0d-00-00-38-06-c9,,25,-93,92.25
2018-01-11 14:08:48.919,00-17-0d-00-00-38-07-18,,11,-92,66.41
2018-01-11 14:08:48.919,00-17-0d-00-00-38-07-18,,12,-93,59.32
